OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,TotalPrice
OD000001,ORD000001,167,2,15.99,31.98
OD000002,ORD000001,530,5,37.49,187.45
OD000011,ORD000004,466,3,147.49,442.47
OD000012,ORD000005,594,2,144.79,289.58
OD000013,ORD000005,186,5,62.79,313.95
OD000014,ORD000006,392,2,86.79,173.58
OD000025,ORD000011,269,2,128.79,257.58
OD000026,ORD000011,37,1,47.79,47.79
OD000027,ORD000011,328,5,112.99,564.95
OD000028,ORD000012,25,3,88.99,266.97
OD000029,ORD000012,714,2,108.49,216.98
OD000030,ORD000012,72,1,166.99,166.99
OD000031,ORD000012,6,4,188.99,755.96
OD000064,ORD000024,408,2,159.79,319.58
OD000065,ORD000024,422,5,170.99,854.95
OD000066,ORD000024,547,5,44.79,223.95
OD000067,ORD000024,443,5,53.79,268.95
OD000071,ORD000026,526,2,18.49,36.98
OD000079,ORD000030,676,5,197.49,987.45
OD000105,ORD000041,780,2,22.0,44.0
OD000106,ORD000041,333,4,18.0,72.0
OD000113,ORD000044,379,3,164.79,494.37
OD000114,ORD000044,34,3,65.49,196.47
OD000115,ORD000045,190,1,194.99,194.99
OD000116,ORD000045,78,4,129.99,519.96
OD000117,ORD000045,571,3,10.99,32.97
OD000118,ORD000045,304,3,197.0,591.0
OD000135,ORD000051,616,2,125.0,250.0
OD000136,ORD000051,175,2,103.0,206.0
OD000137,ORD000051,2,3,113.0,339.0
OD000138,ORD000051,14,3,74.49,223.47
OD000145,ORD000055,381,4,72.0,288.0
OD000146,ORD000055,321,5,102.79,513.95
OD000147,ORD000055,34,9,65.49,589.41
OD000148,ORD000056,683,3,42.0,126.0
OD000149,ORD000056,85,5,71.49,357.45
OD000150,ORD000056,749,2,176.49,352.98
OD000159,ORD000061,191,1,195.99,195.99
OD000165,ORD000063,616,2,125.0,250.0
OD000166,ORD000063,659,6,19.0,114.0
OD000167,ORD000063,111,6,107.49,644.94
OD000168,ORD000063,584,3,198.99,596.97
OD000169,ORD000063,144,3,158.99,476.97
OD000174,ORD000067,477,3,48.79,146.37
OD000175,ORD000067,336,2,108.99,217.98
OD000176,ORD000067,217,4,120.79,483.16
OD000179,ORD000069,795,2,44.0,88.0
OD000180,ORD000070,346,3,61.49,184.47
OD000181,ORD000070,71,3,36.49,109.47
OD000187,ORD000074,322,4,178.0,712.0
OD000188,ORD000074,545,3,122.0,366.0
OD000189,ORD000074,777,5,172.79,863.95
OD000190,ORD000074,200,8,17.0,136.0
OD000205,ORD000079,296,3,108.0,324.0
OD000206,ORD000079,381,2,72.0,144.0
OD000207,ORD000079,652,4,167.49,669.96
OD000208,ORD000079,730,2,71.79,143.58
OD000214,ORD000082,777,3,172.79,518.37
OD000215,ORD000082,111,4,107.49,429.96
OD000216,ORD000082,452,1,121.0,121.0
OD000217,ORD000082,294,4,165.79,663.16
OD000222,ORD000085,148,1,73.49,73.49
OD000223,ORD000085,372,6,23.99,143.94
OD000224,ORD000085,207,4,63.99,255.96
