OrderID,UserID,OrderDate,TotalAmount
ORD000003,USR00001,2023-10-22,753.21
ORD000014,USR00003,2023-03-05,1109.53
ORD000017,USR00005,2023-11-15,1959.47
ORD000023,USR00005,2023-04-11,3107.62
ORD000029,USR00006,2023-07-18,2017.59
ORD000031,USR00007,2023-05-05,794.11
ORD000032,USR00007,2023-09-20,298.0
ORD000034,USR00007,2023-04-08,3369.76
ORD000035,USR00007,2023-08-01,681.96
ORD000038,USR00008,2023-04-20,295.98
ORD000040,USR00008,2023-02-20,1199.98
ORD000042,USR00008,2023-04-06,2791.98
ORD000046,USR00009,2023-06-14,678.07
ORD000049,USR00009,2023-05-20,1115.96
ORD000050,USR00009,2023-05-05,1109.13
ORD000053,USR00010,2023-02-14,769.94
ORD000060,USR00011,2023-01-12,614.73
ORD000062,USR00012,2023-05-01,1409.51
ORD000073,USR00014,2023-10-17,1043.89
ORD000080,USR00016,2023-01-05,390.07
ORD000084,USR00016,2023-02-09,564.24
ORD000086,USR00016,2023-07-22,238.98
ORD000087,USR00016,2023-04-07,4219.99
ORD000090,USR00017,2023-03-20,1396.89
ORD000096,USR00018,2023-06-14,679.16
ORD000098,USR00018,2023-03-06,950.99
ORD000100,USR00019,2023-11-11,1180.9
ORD000106,USR00020,2023-07-17,1823.27
ORD000110,USR00020,2023-09-24,1122.8
ORD000122,USR00022,2023-05-10,492.98
ORD000123,USR00022,2023-06-30,1285.81
ORD000131,USR00023,2023-06-04,121.79
ORD000138,USR00025,2023-09-03,1140.32
ORD000139,USR00025,2023-04-21,2636.92
ORD000140,USR00025,2023-10-07,581.95
ORD000141,USR00025,2023-01-26,444.84
ORD000150,USR00028,2023-10-22,623.96
ORD000151,USR00028,2023-03-26,320.92
ORD000154,USR00030,2023-01-18,163.79
ORD000155,USR00030,2023-11-01,2166.83
ORD000160,USR00030,2023-02-11,1334.93
ORD000162,USR00031,2023-09-30,1081.93
ORD000164,USR00031,2023-10-20,548.56
ORD000166,USR00032,2023-02-25,757.39
ORD000169,USR00032,2023-07-07,2195.01
ORD000170,USR00032,2023-10-16,1969.93
ORD000176,USR00034,2023-12-30,859.11
ORD000184,USR00036,2023-10-06,1183.92
ORD000188,USR00037,2023-03-01,167.99
ORD000191,USR00038,2023-06-14,1863.53
ORD000195,USR00038,2023-06-05,1236.53
ORD000204,USR00040,2023-11-18,877.5
ORD000205,USR00040,2023-12-12,3385.79
ORD000207,USR00040,2023-07-13,2823.85
ORD000211,USR00041,2023-05-19,1020.32
ORD000213,USR00041,2023-06-03,1627.9
ORD000216,USR00041,2023-09-24,1465.56
ORD000217,USR00041,2023-08-12,1953.38
ORD000224,USR00042,2023-01-02,405.26
ORD000229,USR00043,2023-11-03,2751.22
ORD000232,USR00044,2023-12-14,1887.37
ORD000235,USR00044,2023-11-12,835.35
ORD000236,USR00044,2023-10-25,1205.75
ORD000238,USR00044,2023-06-10,155.37
ORD000240,USR00045,2023-03-15,1178.59
ORD000248,USR00046,2023-06-21,1138.98
ORD000254,USR00047,2023-12-15,1577.88
