ProductID,Name,Description,Price,StockQuantity,CategoryName,SubcategoryName,ModelName,ProductColor,ProductSize,SKU
1,Eco Formal Wear,"Eco Formal Wear - Color: Gray, Size: M",15.79,73,Fashion & Apparel,Formal Wear,Eco_FormalWear_M,Gray,M,SKU-1-FA-FOR
2,Portable Outerwear,"Portable Outerwear - Color: Gray, Size: S",113.0,169,Fashion & Apparel,Outerwear,Portable_Outerwear_S,Gray,S,SKU-2-FA-OUT
3,Deluxe Accessories,"Deluxe Accessories - Color: Green, Size: XL",157.99,90,Fashion & Apparel,Accessories,Deluxe_Accessories_XL,Green,XL,SKU-3-FA-ACC
4,Ultra Sneakers & Casual Shoes,"Ultra Sneakers & Casual Shoes - Color: Green, Size: S",164.49,177,Fashion & Apparel,Sneakers & Casual Shoes,Ultra_Sneakers&CasualShoes_S,Green,S,SKU-4-FA-SNE
5,Deluxe Dresses & Skirts,"Deluxe Dresses & Skirts - Color: Blue, Size: M",185.99,113,Fashion & Apparel,Dresses & Skirts,Deluxe_Dresses&Skirts_M,Blue,M,SKU-5-FA-DRE
6,Pro T-Shirts & Tops,"Pro T-Shirts & Tops - Color: Gray, Size: L",188.99,73,Fashion & Apparel,T-Shirts & Tops,Pro_T-Shirts&Tops_L,Gray,L,SKU-6-FA-T-S
7,Premium Outerwear,"Premium Outerwear - Color: Red, Size: XL",76.99,154,Fashion & Apparel,Outerwear,Premium_Outerwear_XL,Red,XL,SKU-7-FA-OUT
8,Deluxe Activewear,"Deluxe Activewear - Color: Black, Size: L",49.79,25,Fashion & Apparel,Activewear,Deluxe_Activewear_L,Black,L,SKU-8-FA-ACT
9,Eco Activewear,"Eco Activewear - Color: Gray, Size: S",37.0,112,Fashion & Apparel,Activewear,Eco_Activewear_S,Gray,S,SKU-9-FA-ACT
10,Eco Accessories,"Eco Accessories - Color: Gray, Size: XL",152.49,144,Fashion & Apparel,Accessories,Eco_Accessories_XL,Gray,XL,SKU-10-FA-ACC
11,Pro Activewear,"Pro Activewear - Color: Blue, Size: M",163.99,152,Fashion & Apparel,Activewear,Pro_Activewear_M,Blue,M,SKU-11-FA-ACT
12,Pro Bags & Backpacks,"Pro Bags & Backpacks - Color: Red, Size: XL",21.79,87,Fashion & Apparel,Bags & Backpacks,Pro_Bags&Backpacks_XL,Red,XL,SKU-12-FA-BAG
13,Classic Accessories,"Classic Accessories - Color: Blue, Size: L",116.49,31,Fashion & Apparel,Accessories,Classic_Accessories_L,Blue,L,SKU-13-FA-ACC
14,Advanced Swimwear,"Advanced Swimwear - Color: Red, Size: L",74.49,77,Fashion & Apparel,Swimwear,Advanced_Swimwear_L,Red,L,SKU-14-FA-SWI
15,Eco Dresses & Skirts,"Eco Dresses & Skirts - Color: Gray, Size: M",62.49,27,Fashion & Apparel,Dresses & Skirts,Eco_Dresses&Skirts_M,Gray,M,SKU-15-FA-DRE
16,Pro Accessories,"Pro Accessories - Color: Red, Size: M",126.99,154,Fashion & Apparel,Accessories,Pro_Accessories_M,Red,M,SKU-16-FA-ACC
17,Advanced Sneakers & Casual Shoes,"Advanced Sneakers & Casual Shoes - Color: Green, Size: L",127.99,70,Fashion & Apparel,Sneakers & Casual Shoes,Advanced_Sneakers&CasualShoes_L,Green,L,SKU-17-FA-SNE
18,Advanced Outerwear,"Advanced Outerwear - Color: Blue, Size: XL",173.79,99,Fashion & Apparel,Outerwear,Advanced_Outerwear_XL,Blue,XL,SKU-18-FA-OUT
19,Ultra T-Shirts & Tops,"Ultra T-Shirts & Tops - Color: Blue, Size: XL",130.79,143,Fashion & Apparel,T-Shirts & Tops,Ultra_T-Shirts&Tops_XL,Blue,XL,SKU-19-FA-T-S
20,Classic Accessories,"Classic Accessories - Color: Red, Size: M",168.99,159,Fashion & Apparel,Accessories,Classic_Accessories_M,Red,M,SKU-20-FA-ACC
21,Advanced Sneakers & Casual Shoes,"Advanced Sneakers & Casual Shoes - Color: Black, Size: S",30.0,119,Fashion & Apparel,Sneakers & Casual Shoes,Advanced_Sneakers&CasualShoes_S,Black,S,SKU-21-FA-SNE
22,Ultra Swimwear,"Ultra Swimwear - Color: Blue, Size: M",49.79,65,Fashion & Apparel,Swimwear,Ultra_Swimwear_M,Blue,M,SKU-22-FA-SWI
