ReturnID,OrderDetailID,OrderID,UserID,ProductID,Name,CategoryName,SubcategoryName,OrderDate,ReturnDate,ReturnedQuantity,UnitPrice,ReturnAmount,ReturnReason,ReturnStatus,SimulatedBonusData
RET000001,OD000127,ORD000048,USR00009,313,Premium Headphones & Speakers,Technology & Gadgets,Headphones & Speakers,2020-01-23,2020-02-01,4,137.0,548.0,Product did not meet expectations,Refunded,True
RET000002,OD000303,ORD000112,USR00020,755,Portable Fitness Equipment,Sports & Outdoors,Fitness Equipment,2020-08-12,2020-09-08,1,59.49,59.49,Wrong size or fit,Refunded,True
RET000003,OD000367,ORD000135,USR00024,290,Premium Accessories,Fashion & Apparel,Accessories,2020-01-10,2020-02-09,1,118.0,118.0,Changed mind,Refunded,True
RET000004,OD000407,ORD000148,USR00028,91,Pro T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,2020-12-30,2021-01-20,1,97.0,97.0,Product did not meet expectations,Refunded,True
RET000005,OD000559,ORD000198,USR00038,173,Advanced Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2020-02-13,2020-03-11,2,162.99,325.98,Wrong size or fit,Refunded,True
RET000006,OD000589,ORD000210,USR00040,661,Deluxe Fragrances,Health & Beauty,Fragrances,2020-02-22,2020-03-17,2,22.99,45.98,Changed mind,Refunded,True
RET000007,OD000601,ORD000215,USR00041,179,Eco Outerwear,Fashion & Apparel,Outerwear,2020-05-22,2020-06-02,1,45.49,45.49,Changed mind,Refunded,True
RET000008,OD000626,ORD000222,USR00042,621,Pro Oral Care,Health & Beauty,Oral Care,2020-06-05,2020-06-28,5,172.79,863.95,Wrong size or fit,Refunded,True
RET000009,OD000691,ORD000242,USR00045,295,Classic Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2020-04-29,2020-05-12,3,38.0,114.0,Changed mind,Refunded,True
RET000010,OD000879,ORD000304,USR00056,687,Eco Storage Solutions,Home & Living,Storage Solutions,2020-09-17,2020-10-11,2,37.79,75.58,Changed mind,Refunded,True
RET000011,OD000935,ORD000321,USR00058,283,Advanced T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,2020-03-29,2020-04-14,2,139.79,279.58,Product did not meet expectations,Refunded,True
RET000012,OD000989,ORD000340,USR00061,233,Ultra Outerwear,Fashion & Apparel,Outerwear,2020-12-18,2020-12-23,3,75.0,225.0,Changed mind,Refunded,True
RET000013,OD001060,ORD000364,USR00064,315,Compact Smart Home Devices,Technology & Gadgets,Smart Home Devices,2020-01-26,2020-02-04,1,12.49,12.49,Incorrect item received,Refunded,True
RET000014,OD001104,ORD000378,USR00066,483,Deluxe Haircare Products,Health & Beauty,Haircare Products,2020-01-23,2020-02-10,2,84.99,169.98,Incorrect item received,Refunded,True
RET000015,OD001105,ORD000378,USR00066,67,Classic Accessories,Fashion & Apparel,Accessories,2020-01-23,2020-02-22,1,184.79,184.79,Product did not meet expectations,Refunded,True
RET000016,OD001155,ORD000396,USR00069,145,Eco Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2020-01-25,2020-01-28,1,150.49,150.49,Changed mind,Refunded,True
