UserID,Country,Continent,AgeGroup,IncomeGroup,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,Segment
USR00001,Australia,Oceania,35-44,50K-75K,71,6,4274.66,4,3,2,Loyal Customers
USR00002,Australia,Oceania,35-44,25K-50K,517,6,4058.9700000000003,1,3,2,At Risk
USR00003,Germany,Europe,25-34,25K-50K,302,2,1130.51,2,1,1,Hibernating
USR00004,Australia,Oceania,35-44,25K-50K,796,2,1188.33,1,1,1,Hibernating
USR00005,Germany,Europe,25-34,25K-50K,47,7,9903.14,4,3,4,Champions
USR00006,Canada,North America,25-34,50K-75K,167,6,6158.49,3,3,3,Champions
USR00007,Israel,Asia,35-44,50K-75K,103,7,8540.460000000001,3,3,3,Champions
USR00008,Australia,Oceania,35-44,25K-50K,256,8,5882.26,2,3,2,Loyal Customers
USR00009,United States,North America,25-34,50K-75K,201,7,8085.51,2,3,3,Loyal Customers
USR00010,India,Asia,45-54,25K-50K,321,6,4346.57,2,3,2,Loyal Customers
USR00011,Brazil,South America,25-34,50K-75K,354,3,2449.39,2,1,1,Hibernating
USR00012,United Kingdom,Europe,25-34,25K-50K,245,3,3688.38,2,1,2,Hibernating
USR00013,France,Europe,25-34,25K-50K,369,7,3663.31,2,3,2,Loyal Customers
USR00014,Germany,Europe,35-44,25K-50K,76,5,6270.030000000001,4,2,3,Potential Loyalists
USR00015,Australia,Oceania,25-34,25K-50K,738,3,5188.09,1,1,2,Hibernating
USR00016,Israel,Asia,25-34,25K-50K,163,9,11231.22,3,4,4,Champions
USR00017,United States,North America,25-34,25K-50K,287,3,4019.09,2,1,2,Hibernating
USR00018,United States,Unknown,35-44,25K-50K,201,8,8392.66,2,3,3,Loyal Customers
USR00019,United States,North America,35-44,25K-50K,51,6,5501.58,4,3,2,Loyal Customers
USR00020,Spain,Europe,35-44,50K-75K,99,10,13446.1,3,4,4,Champions
USR00021,Mexico,North America,25-34,25K-50K,427,7,12069.06,1,3,4,At Risk
USR00022,Brazil,South America,25-34,50K-75K,185,2,1778.79,3,1,1,Needs Attention
USR00023,Germany,Europe,18-24,50K-75K,211,10,11922.07,2,4,4,Loyal Customers
USR00024,Italy,Europe,25-34,50K-75K,455,3,2066.77,1,1,1,Hibernating
USR00025,Canada,North America,45-54,50K-75K,86,6,8300.74,4,3,3,Champions
USR00026,United States,North America,35-44,25K-50K,430,3,2829.13,1,1,1,Hibernating
USR00027,Germany,Europe,45-54,50K-75K,1092,2,998.4100000000001,1,1,1,Hibernating
USR00028,France,Europe,35-44,50K-75K,71,4,4452.72,4,2,2,Potential Loyalists
USR00029,Italy,Europe,25-34,50K-75K,371,1,294.95,2,1,1,Hibernating
USR00030,Brazil,South America,25-34,25K-50K,61,8,10351.86,4,3,4,Champions
USR00031,United States,North America,25-34,75K+,73,4,3785.81,4,2,2,Potential Loyalists
USR00032,Brazil,South America,35-44,50K-75K,77,9,12181.630000000001,4,4,4,Champions
USR00033,Spain,Europe,55-64,50K-75K,747,2,1142.12,1,1,1,Hibernating
USR00034,Germany,Europe,35-44,25K-50K,2,5,7974.01,4,2,3,Potential Loyalists
USR00035,United States,North America,35-44,50K-75K,545,2,1997.5900000000001,1,1,1,Hibernating
USR00036,Spain,Europe,45-54,50K-75K,87,5,6373.75,3,2,3,Potential Loyalists
USR00037,India,Asia,18-24,50K-75K,306,3,2938.6000000000004,2,1,1,Hibernating
USR00038,India,Asia,35-44,50K-75K,201,9,11379.92,2,4,4,Loyal Customers
USR00039,Canada,North America,45-54,25K-50K,868,2,1015.8700000000001,1,1,1,Hibernating
USR00040,Australia,Oceania,25-34,50K-75K,20,9,9919.99,4,4,4,Champions
USR00041,Australia,Oceania,25-34,25K-50K,99,9,11313.83,3,4,4,Champions
USR00042,Israel,Asia,35-44,50K-75K,364,6,8957.02,2,3,3,Loyal Customers
USR00043,Spain,Europe,45-54,25K-50K,59,6,7083.360000000001,4,3,3,Champions
USR00044,Spain,Europe,45-54,50K-75K,18,8,8925.36,4,3,3,Champions
USR00045,Mexico,North America,18-24,25K-50K,292,5,4144.1,2,2,2,Hibernating
USR00046,Germany,Europe,25-34,25K-50K,194,6,5832.73,3,3,2,Loyal Customers
USR00047,Italy,Europe,35-44,25K-50K,17,8,6476.53,4,3,3,Champions
USR00048,Brazil,South America,35-44,50K-75K,407,2,2667.85,2,1,1,Hibernating
USR00049,France,Europe,35-44,50K-75K,312,2,3509.13,2,1,2,Hibernating
USR00050,Italy,Europe,25-34,25K-50K,11,9,12352.92,4,4,4,Champions
USR00051,France,Europe,35-44,25K-50K,536,5,4306.44,1,2,2,Hibernating
USR00052,France,Europe,35-44,50K-75K,76,9,10560.44,4,4,4,Champions
USR00053,United Kingdom,Europe,35-44,25K-50K,52,4,5309.92,4,2,2,Potential Loyalists
USR00054,United Kingdom,Europe,35-44,50K-75K,790,3,1940.92,1,1,1,Hibernating
USR00055,Italy,Europe,45-54,25K-50K,133,9,13786.77,3,4,4,Champions
USR00056,Israel,Asia,45-54,50K-75K,418,6,9849.29,1,3,4,At Risk
USR00057,Spain,Europe,35-44,25K-50K,171,7,10538.949999999999,3,3,4,Champions
USR00058,Canada,North America,25-34,25K-50K,5,10,12164.06,4,4,4,Champions
USR00059,United Kingdom,Europe,18-24,25K-50K,14,9,7577.59,4,4,3,Champions
USR00060,United Kingdom,Europe,35-44,50K-75K,2,5,6535.639999999999,4,2,3,Potential Loyalists
USR00061,Germany,Europe,35-44,25K-50K,221,5,7074.87,2,2,3,Hibernating
USR00062,Israel,Asia,35-44,50K-75K,490,10,11784.93,1,4,4,At Risk
USR00063,Canada,North America,45-54,25K-50K,315,6,2954.2,2,3,1,Loyal Customers
USR00064,Spain,Europe,35-44,25K-50K,30,7,6273.150000000001,4,3,3,Champions
USR00065,United States,North America,25-34,25K-50K,28,9,10748.48,4,4,4,Champions
USR00066,India,Asia,18-24,25K-50K,188,3,3846.61,3,1,2,Needs Attention
USR00067,China,Asia,45-54,50K-75K,6,7,7963.15,4,3,3,Champions
USR00068,Canada,North America,35-44,50K-75K,263,4,3609.28,2,2,2,Hibernating
USR00069,United States,North America,35-44,25K-50K,158,7,5857.09,3,3,2,Loyal Customers
USR00070,United States,North America,35-44,50K-75K,247,4,4361.360000000001,2,2,2,Hibernating
USR00071,Australia,Oceania,25-34,25K-50K,190,4,6135.67,3,2,3,Potential Loyalists
USR00072,Brazil,South America,35-44,25K-50K,311,5,6803.5,2,2,3,Hibernating
USR00073,United States,North America,25-34,50K-75K,23,7,6559.58,4,3,3,Champions
USR00074,United Kingdom,Europe,35-44,25K-50K,129,2,2061.0499999999997,3,1,1,Needs Attention
USR00075,India,Asia,35-44,50K-75K,530,3,2914.91,1,1,1,Hibernating
USR00076,Brazil,South America,25-34,50K-75K,495,4,5884.370000000001,1,2,2,Hibernating
USR00077,United States,North America,25-34,Up to 25K,39,10,10654.01,4,4,4,Champions
USR00078,Australia,Oceania,35-44,50K-75K,371,8,5499.61,2,3,2,Loyal Customers
USR00079,Germany,Europe,25-34,25K-50K,118,5,7285.91,3,2,3,Potential Loyalists
USR00080,Israel,Asia,35-44,25K-50K,708,2,496.44,1,1,1,Hibernating
USR00081,United States,North America,35-44,25K-50K,267,6,2402.5099999999998,2,3,1,Loyal Customers
USR00082,Israel,Asia,35-44,50K-75K,211,4,6153.1900000000005,2,2,3,Hibernating
USR00083,India,Asia,25-34,50K-75K,318,7,3909.3900000000003,2,3,2,Loyal Customers
USR00084,India,Asia,35-44,25K-50K,239,7,10333.85,2,3,4,Loyal Customers
USR00085,China,Asia,35-44,25K-50K,588,3,2123.61,1,1,1,Hibernating
USR00086,Australia,Oceania,35-44,25K-50K,11,10,15428.34,4,4,4,Champions
USR00087,Germany,Europe,35-44,50K-75K,211,9,7421.7,2,4,3,Loyal Customers
USR00088,Israel,Asia,25-34,25K-50K,175,8,9727.73,3,3,4,Champions
USR00089,India,Asia,25-34,50K-75K,318,4,6743.38,2,2,3,Hibernating
USR00090,India,Asia,35-44,50K-75K,56,8,10820.01,4,3,4,Champions
USR00091,Mexico,North America,25-34,25K-50K,76,5,5739.2,4,2,2,Potential Loyalists
USR00092,Israel,Asia,25-34,25K-50K,240,6,6780.26,2,3,3,Loyal Customers
USR00093,Canada,North America,35-44,25K-50K,192,6,6551.23,3,3,3,Champions
USR00094,Spain,Europe,35-44,50K-75K,74,7,10134.86,4,3,4,Champions
USR00095,Australia,Oceania,25-34,75K+,219,5,7926.23,2,2,3,Hibernating
USR00096,Italy,Europe,35-44,50K-75K,424,2,1904.45,1,1,1,Hibernating
USR00097,Brazil,South America,25-34,25K-50K,37,8,12940.96,4,3,4,Champions
USR00098,Brazil,South America,35-44,25K-50K,26,9,9030.7,4,4,3,Champions
USR00099,Spain,Europe,35-44,25K-50K,194,9,10521.51,3,4,4,Champions
USR00100,Canada,North America,45-54,50K-75K,88,10,11515.25,3,4,4,Champions
USR00101,Australia,Unknown,35-44,50K-75K,62,10,11491.48,4,4,4,Champions
USR00102,United States,North America,35-44,Up to 25K,68,7,6328.09,4,3,3,Champions
USR00103,France,Europe,35-44,50K-75K,85,8,6328.46,4,3,3,Champions
USR00104,India,Asia,25-34,75K+,16,9,12641.66,4,4,4,Champions
USR00105,Mexico,North America,25-34,25K-50K,1025,2,2739.95,1,1,1,Hibernating
USR00106,United Kingdom,Europe,25-34,50K-75K,474,2,1448.37,1,1,1,Hibernating
USR00107,France,Europe,35-44,25K-50K,73,8,8132.3099999999995,4,3,3,Champions
USR00108,Brazil,South America,45-54,50K-75K,251,6,7973.3099999999995,2,3,3,Loyal Customers
USR00109,Mexico,North America,35-44,25K-50K,436,3,3608.91,1,1,2,Hibernating
USR00110,Australia,Oceania,18-24,50K-75K,152,10,11813.54,3,4,4,Champions
USR00111,Italy,Europe,35-44,25K-50K,40,8,5712.51,4,3,2,Loyal Customers
USR00112,Canada,North America,45-54,50K-75K,67,8,7328.69,4,3,3,Champions
USR00113,United States,North America,25-34,50K-75K,6,4,3814.2999999999997,4,2,2,Potential Loyalists
USR00114,Mexico,North America,25-34,25K-50K,568,3,2958.69,1,1,1,Hibernating
USR00115,China,Asia,25-34,50K-75K,237,1,460.47,2,1,1,Hibernating
USR00116,United States,North America,35-44,25K-50K,21,5,4742.17,4,2,2,Potential Loyalists
USR00117,China,Asia,25-34,50K-75K,116,10,15039.34,3,4,4,Champions
USR00118,United States,North America,35-44,50K-75K,493,9,11135.960000000001,1,4,4,At Risk
USR00119,United Kingdom,Europe,25-34,25K-50K,102,7,7608.03,3,3,3,Champions
USR00120,Australia,Oceania,35-44,50K-75K,160,10,8473.37,3,4,3,Champions
USR00121,Spain,Europe,25-34,50K-75K,83,4,6082.89,4,2,3,Potential Loyalists
USR00122,Brazil,South America,25-34,25K-50K,122,9,8843.86,3,4,3,Champions
USR00123,Mexico,North America,35-44,Up to 25K,614,2,1513.57,1,1,1,Hibernating
USR00124,Israel,Asia,25-34,25K-50K,106,8,5613.06,3,3,2,Loyal Customers
USR00125,United Kingdom,Europe,25-34,50K-75K,1341,1,859.92,1,1,1,Hibernating
USR00126,France,Europe,35-44,50K-75K,288,2,2322.91,2,1,1,Hibernating
USR00127,Brazil,South America,35-44,25K-50K,53,6,5064.76,4,3,2,Loyal Customers
USR00128,Canada,North America,35-44,25K-50K,1160,1,1388.91,1,1,1,Hibernating
USR00129,China,Asia,25-34,50K-75K,362,3,1411.4,2,1,1,Hibernating
USR00130,United Kingdom,Europe,45-54,25K-50K,163,3,2375.62,3,1,1,Needs Attention
USR00131,China,Asia,35-44,50K-75K,300,10,12323.56,2,4,4,Loyal Customers
USR00132,Brazil,South America,25-34,25K-50K,151,6,7987.59,3,3,3,Champions
